Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type
2596,51,3,258,0,510,221,232,148,6279,29
2590,56,2,212,-6,390,220,235,151,6225,29
2804,139,9,268,65,3180,234,238,135,6121,12
2595,45,2,153,-1,391,220,234,150,6172,29
2579,132,6,300,-15,67,230,237,140,6031,29
2606,45,7,270,5,633,222,225,138,6256,29
2605,49,4,234,7,573,222,230,144,6228,29
2617,45,9,240,56,666,223,221,133,6244,29
2886,151,11,371,26,5253,234,240,136,4051,30
2610,259,1,120,-1,607,216,239,161,6096,29
2517,72,7,85,6,595,228,227,133,5607,18
2503,38,5,85,10,741,220,228,144,5555,18
2501,71,9,60,8,767,230,223,126,5547,18
2768,114,23,192,82,3339,252,209,71,5972,30
2511,54,8,124,0,638,225,222,130,5569,18
2507,22,9,120,14,732,215,221,143,5534,18
2492,135,6,0,0,860,229,237,142,5494,18
2489,163,10,30,-4,849,230,243,145,5486,18
2962,148,16,323,23,5916,240,236,120,3395,29
2739,117,24,127,53,3281,253,210,71,6033,30
2703,122,30,67,27,3191,254,201,52,6123,30
2522,105,7,120,1,595,233,231,130,5569,18
2519,102,6,124,4,616,230,233,137,5559,18
2516,23,6,150,4,658,216,227,147,5541,18
2900,45,19,242,20,5199,221,195,100,4115,29
2709,125,28,67,23,3224,253,207,61,6094,30
2511,92,7,182,18,722,231,229,131,5494,18
2749,98,30,124,53,3316,252,183,36,6005,30
2686,354,12,0,0,3167,200,219,157,6155,30
2699,347,3,0,0,2096,213,234,159,6853,20
2570,346,2,0,0,331,215,235,158,5745,29
2703,330,27,30,17,3141,146,197,184,6186,16
2678,128,5,95,23,1660,229,236,141,6546,12
2524,94,7,212,-4,684,232,229,130,5474,18
2536,99,6,234,0,659,230,232,136,5475,18
2498,66,6,95,7,900,227,227,135,5357,18
2489,100,7,85,13,810,232,231,131,5334,18
2713,117,30,60,17,3297,254,198,48,6039,30
2696,72,2,30,0,3271,222,234,149,6071,30
2510,79,14,192,19,891,237,215,106,5325,18
2502,81,7,175,11,912,230,227,129,5316,18
2722,315,24,30,19,3216,148,212,200,6132,16
2500,74,11,190,9,930,233,219,116,5279,18
2486,68,5,180,-4,870,225,230,139,5262,18
2489,11,4,175,13,840,216,232,153,5254,18
2489,42,6,162,13,810,221,227,141,5247,18
2490,75,5,134,17,810,227,230,137,5218,18
2952,107,11,42,7,5845,239,226,116,3509,29
2507,40,7,153,10,930,221,224,138,5221,18
2500,49,14,150,27,870,225,210,116,5205,18
2493,63,10,127,20,840,229,221,124,5197,18
2509,59,7,134,10,900,226,226,134,5184,18
2740,54,6,218,42,2287,224,227,138,6686,12
2843,166,12,242,53,4434,230,244,144,4956,30
3008,45,14,277,10,6371,223,208,116,3036,29
2893,114,16,108,30,5066,245,223,102,4340,29
2628,30,10,240,19,960,217,218,136,5645,29
2864,118,18,201,74,4567,248,221,93,4849,30
2827,160,28,134,65,3948,235,233,108,5474,30
2529,326,5,30,14,1062,207,234,166,5047,16
2808,99,7,382,95,3107,233,230,130,6341,12
2840,153,26,134,42,4613,241,231,102,4833,30
2795,79,10,531,96,2980,233,223,121,6497,20
2746,143,16,67,22,2440,241,235,119,6597,12
2840,14,14,216,88,3552,206,210,140,5944,12
2537,42,7,210,17,1132,222,224,137,4919,18
2818,332,26,30,17,4526,151,197,181,4978,29
2791,63,10,418,48,2942,229,221,124,6606,12
2745,306,11,67,24,2416,190,234,184,6428,29
2788,13,16,30,8,4126,203,206,137,5396,29
2562,354,12,67,9,1057,200,218,156,5031,30
3073,173,12,108,-3,6836,227,246,149,2735,29
2860,31,10,295,98,3644,218,218,135,5904,12
3067,164,11,85,7,6811,230,243,144,2774,29
2804,72,5,543,61,3115,225,231,141,6471,12
2562,59,3,0,0,1116,221,233,148,5091,16
2567,34,9,190,16,1136,219,221,138,4924,18
2998,45,8,351,16,5842,223,222,134,3721,29
2684,84,12,150,2,1677,237,220,113,5693,29
2676,42,11,150,-5,1634,222,216,128,5655,29
2574,170,5,170,23,1180,224,242,153,4910,18
3067,32,4,30,-2,6679,219,230,147,2947,20
2909,57,16,134,23,5502,229,203,102,4084,29
2863,348,14,309,89,3918,193,216,161,5695,29
2567,333,1,0,0,1266,216,237,158,5079,16
3182,105,11,408,33,6000,240,226,115,1184,29
2818,324,12,242,26,4156,189,227,177,5467,16
2752,332,6,342,24,2372,207,233,165,6131,12
2751,88,5,400,30,2322,228,231,137,6088,12
2569,102,7,228,18,1266,232,231,132,4844,18
3195,111,15,469,46,5941,245,222,101,1206,29
2982,53,14,240,63,5756,227,209,112,3880,29
2586,76,4,190,30,1290,225,232,143,4875,18
2837,17,13,330,45,4241,208,211,138,5428,29
3057,124,12,150,53,6508,240,231,118,3211,29
2818,119,19,30,10,5213,248,220,92,4497,29
2847,320,33,85,39,4983,120,190,199,4727,29
2606,112,11,30,4,1584,239,228,119,5106,16
2893,83,6,551,101,4011,229,230,135,5755,12
2716,1,10,234,27,2100,206,222,153,5581,12
2644,125,20,67,25,1719,249,221,90,5168,29
2613,37,5,216,34,1519,220,229,146,4818,12
2929,356,12,0,0,5757,201,219,155,4017,24
2767,307,12,30,8,2796,187,233,186,6192,29
2991,49,13,85,0,6199,225,211,117,3613,24
2939,56,18,95,20,5563,229,200,98,4224,24
2537,7,12,0,0,1583,205,216,148,4509,16
3119,119,7,162,10,6660,233,234,133,2556,29
2942,346,12,30,3,5918,197,221,162,3900,24
2886,12,7,570,94,4295,213,226,150,5518,29
2775,344,13,42,7,2854,194,219,164,6177,29
3106,228,18,658,108,5984,191,254,196,1655,29
2831,284,24,60,23,5208,145,232,222,4611,24
2837,112,8,272,16,3649,235,231,128,6221,12
2890,299,23,180,79,5104,150,224,212,4734,24
2728,135,3,242,32,2250,224,238,150,5515,12
2962,88,16,190,23,6095,242,212,95,3811,24
3142,220,11,424,69,6216,207,251,179,1989,29
3168,95,6,30,0,4884,229,231,136,1239,29
2926,289,24,210,99,5126,145,228,220,4814,24
2893,21,6,295,36,4106,216,227,148,5865,12
2687,20,11,150,39,1986,212,217,140,4936,12
3119,200,20,60,0,6297,208,253,172,2377,29
2916,349,10,488,36,4472,202,223,160,5502,29
2795,18,3,218,17,3042,217,233,153,6073,12
2555,58,14,285,19,1231,230,209,109,4159,18
3027,173,11,335,42,5678,227,245,149,1900,29
3096,160,15,85,16,6156,234,242,135,2310,29
2916,105,13,268,89,5618,242,223,108,4417,29
2591,42,12,350,22,1398,222,213,125,4224,29
3021,221,10,324,39,5675,208,250,177,1937,29
3083,257,4,510,-25,6363,209,242,171,2873,29
2860,276,33,60,33,5292,115,226,240,4759,24
3008,196,15,228,20,5535,215,251,166,1924,23
3034,189,14,384,66,5754,220,250,160,2012,29
2873,130,16,67,16,4030,244,230,110,6091,30
3182,49,13,319,7,4767,225,211,118,1513,29
